first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
David,Raya Martín,0,0,53,990,5,10.2,159.8,0.0,3,210,17.0,7,0,1,32.2,59,GK
Kepa,Arrizabalaga Revuelta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,42,GK
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK
Tommy,Setford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Gabriel,dos Santos Magalhães,1,2,81,990,5,62.6,318.6,88.0,13,279,46.9,7,0,1,40.2,66,DEF
William,Saliba,0,0,39,724,3,34.1,169.6,16.0,1,178,22.0,5,0,0,11.9,60,DEF
Riccardo,Calafiori,1,2,61,856,5,89.3,150.0,181.0,3,213,41.9,7,0,3,15.6,58,DEF
Jurriën,Timber,2,2,67,881,5,179.1,238.0,216.0,7,257,63.5,6,0,2,26.6,62,DEF
Jakub,Kiwior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,DEF
Myles,Lewis-Skelly,0,0,6,86,0,7.2,9.8,4.0,0,19,2.0,0,0,1,1.6,51,DEF
Benjamin,White,0,0,6,70,0,11.3,15.4,1.0,0,23,2.8,1,0,0,0.4,53,DEF
Brayden,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,38,DEF
Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF
Josh,Nichols,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF
Bukayo,Saka,3,0,45,681,3,257.3,194.2,229.0,5,152,68.0,5,0,0,17.6,101,MID
Martin,Ødegaard,0,1,13,201,1,65.0,43.0,22.0,0,47,13.0,1,0,0,1.4,78,MID
Noni,Madueke,0,0,10,304,2,111.7,30.2,105.0,0,39,24.6,2,0,0,0.6,68,MID
Gabriel,Martinelli Silva,1,0,16,214,0,30.6,51.0,93.0,1,56,17.5,1,0,0,0.8,68,MID
Leandro,Trossard,2,2,40,642,4,157.0,147.0,174.0,4,137,47.8,4,0,0,0.9,69,MID
Declan,Rice,2,4,65,893,5,318.0,273.4,99.0,10,254,69.1,6,0,0,21.1,69,MID
Mikel,Merino Zazón,1,1,23,413,3,74.5,98.4,84.0,0,80,25.3,2,0,0,1.0,59,MID
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Christian,Nørgaard,0,0,2,14,0,0.1,6.4,7.0,0,7,1.4,0,0,0,0.1,52,MID
Ethan,Nwaneri,0,0,7,163,0,22.4,8.4,24.0,0,17,5.4,1,0,0,0.1,51,MID
Martín,Zubimendi Ibáñez,2,1,48,937,5,168.9,214.6,73.0,4,204,45.7,7,0,2,2.9,54,MID
Ismeal,Kabia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Albert,Sambi Lokonga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Kai,Havertz,0,0,1,30,0,0.8,2.8,2.0,0,4,0.6,0,0,0,0.3,73,FWD
Gabriel,Fernando de Jesus,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,64,FWD
Eberechi,Eze,1,3,41,700,3,104.9,127.0,202.0,3,146,43.4,6,0,0,13.3,76,MID
Cristhian,Mosquera,0,0,14,294,3,13.9,67.4,8.0,1,64,9.0,1,0,0,0.2,54,DEF
Viktor,Gyökeres,4,0,37,801,3,106.9,158.6,312.0,4,143,57.7,5,0,1,13.0,89,FWD
Max,Dowman,0,1,5,27,0,0.8,1.0,26.0,0,13,2.8,0,0,0,0.4,43,MID
Andre,Harriman-Annous,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Piero,Hincapié,0,0,2,26,0,0.6,0.8,0.0,0,7,0.1,0,0,0,0.0,54,DEF
Emiliano,Martínez Romero,0,0,40,810,7,3.0,179.8,0.0,3,158,18.2,3,0,1,2.7,50,GK
Marco,Bizot,0,0,7,180,3,0.0,25.4,0.0,0,22,2.6,1,0,1,0.5,43,GK
Joe,Gauci,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Matty,Cash,2,0,52,966,9,139.2,233.6,57.0,5,179,43.1,4,0,3,5.8,46,DEF
Lucas,Digne,0,3,42,817,6,181.5,161.4,58.0,0,170,39.9,4,0,2,1.7,45,DEF
Ezri,Konsa Ngoyo,0,0,33,875,9,27.4,178.2,33.0,0,168,23.9,4,1,0,8.2,44,DEF
Ian,Maatsen,0,0,6,169,4,78.7,49.0,22.0,0,33,15.1,0,0,1,0.4,42,DEF
Tyrone,Mings,0,0,24,497,6,44.6,120.2,25.0,1,87,19.0,2,0,0,0.8,44,DEF
Pau,Torres,0,0,25,597,6,11.5,126.8,15.0,2,118,15.5,2,0,0,0.4,43,DEF
Andrés,García,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF
Álex,Moreno Lopera,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.3,40,DEF
Lamare,Bogarde,0,0,16,291,2,32.4,30.6,6.0,3,52,6.8,1,0,1,0.6,40,DEF
Lino,da Cruz Sousa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,DEF
Yasin,Özcan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Morgan,Rogers,1,2,35,976,10,154.4,143.4,152.0,0,115,45.0,4,0,2,5.1,68,MID
Youri,Tielemans,0,1,12,334,4,84.4,55.4,31.0,0,63,17.1,1,0,0,0.6,59,MID
Leon,Bailey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55,MID
Emiliano,Buendía Stati,3,2,39,435,3,112.7,180.6,111.0,7,132,40.5,2,0,2,0.5,53,MID
Samuel,Iling-Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID
Donyell,Malen,3,0,32,332,6,47.2,113.6,126.0,3,91,27.9,0,0,0,0.7,51,MID
John,McGinn,1,0,30,837,8,208.8,135.6,68.0,0,143,41.4,5,0,1,0.6,54,MID
Ross,Barkley,1,0,10,80,0,29.3,51.8,53.0,0,41,13.4,0,0,0,0.0,48,MID
Enzo,Barrenechea,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Lewis,Dobbin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Boubacar,Kamara,0,2,23,644,6,110.1,147.8,31.0,1,128,28.9,3,0,3,0.2,49,MID
Amadou,Onana,1,0,24,485,4,35.2,146.0,25.0,1,111,20.5,3,0,2,0.7,48,MID
Ben,Broggio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,MID
Leander,Dendoncker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
