assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,recoveries,red_cards,region,removed,saves,saves_per_90,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1995-09-15,4,348,True,True,None,None,10,0.48,16,154561,None,,-1,1,4,-4,20.3,361,3,0,0.0,None,,1,1,4.6,4.1,6,0.04,0.0,0.04,0.0,0.00,15.43,0.73,0.0,David,3.6,91,9,14,0.67,0,False,34.1,257,15,1,False,320.2,109,17,1890,,None,59,92,1,p154561,0,0,None,0,,154561.jpg,4.1,71,4,168,0,200,False,32,1.52,[],Raya Martín,33.6,6,1,False,None,21,1.0,a,0,1,3,2024-07-04,0.0,784,91,86,3343641,43577,1772636,53255,0.6,14.6,Raya,1
0,1994-10-03,0,0,True,True,None,None,0,0,0,109745,None,,0,0,-4,4,0.0,591,70,0,0,None,,0,1,1.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Kepa,0.0,530,76,0,0,0,False,0.0,600,81,2,False,0.0,596,81,0,,None,41,637,38,p109745,0,0,None,0,,109745.jpg,0.0,607,81,0,0,200,False,0,0,[],Arrizabalaga Revuelta,0.4,269,36,False,None,0,0,a,0,1,3,2025-07-01,0.0,556,55,0,12353,194,72084,566,0.0,0.0,Arrizabalaga,0
0,2002-04-13,0,0,False,True,0,0,0,0,0,463748,None,,0,0,0,0,0.0,552,60,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,488,66,0,0,0,False,0.0,560,71,3,False,0.0,557,71,0,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,40,666,53,p463748,0,0,None,0,,463748.jpg,0.0,568,71,0,0,67,False,0,0,[],Hein,0.2,360,52,False,None,0,0,u,0,1,3,2020-10-28,0.0,515,45,0,5545,0,46594,239,0.0,0.0,Hein,0
0,2006-03-13,0,0,True,True,None,None,0,0,0,551221,None,,0,0,-1,1,0.0,521,43,0,0,None,,0,1,1.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Tommy,0.0,458,51,0,0,0,False,0.0,531,56,4,False,0.0,528,56,0,,None,39,754,88,p551221,0,0,None,0,,551221.jpg,0.0,538,56,0,0,241,False,0,0,[],Setford,0.3,336,47,False,None,0,0,a,0,1,3,2024-07-24,0.0,482,28,0,31706,596,27413,869,0.0,0.0,Setford,0
2,1997-12-19,16,362,True,True,100,100,9,0.64,109,226597,None,,1,-1,7,-7,73.0,253,73,123,8.75,None,,4,2,7.2,6.7,6,0.76,0.05,2.32,0.16,1.56,8.95,0.64,0.11,Gabriel,6.2,14,4,7,0.5,3,False,67.3,102,30,5,True,443.6,36,15,1265,,2025-11-17T12:00:07.436586Z,67,48,1,p226597,0,0,None,0,,226597.jpg,7.5,2,1,21,0,30,False,0,0.0,[],dos Santos Magalhães,31.7,9,2,False,None,14,1.0,a,14,1,3,2020-09-01,158.0,122,20,112,6389647,349739,4923624,4828,0.9,16.7,Gabriel,1
0,2001-03-24,2,288,True,True,100,100,7,0.47,75,462424,None,,0,0,-1,1,64.0,272,85,93,6.18,None,,0,2,4.6,4.1,7,0.44,0.03,0.73,0.05,0.29,10.61,0.71,0.02,William,3.6,92,34,9,0.6,0,False,35.5,252,84,6,False,269.0,148,65,1354,,2025-11-30T22:30:08.957329Z,59,98,6,p462424,0,0,None,0,,462424.jpg,3.6,114,44,60,0,73,False,0,0.0,[],Saliba,11.8,36,11,False,None,16,1.06,a,18,1,3,2019-07-25,22.0,346,116,61,1372182,38552,1891294,17458,0.6,10.3,Saliba,0
2,2002-05-19,4,287,True,True,0,0,9,0.64,57,466075,None,,0,0,1,-1,104.8,200,49,85,6.09,None,,2,2,0.0,0.0,0,0.36,0.03,2.85,0.21,2.49,7.09,0.51,0.18,Riccardo,1.2,268,99,7,0.5,1,False,54.5,154,50,7,False,222.0,186,74,1256,Muscle injury - Unknown return date,2025-12-27T22:00:11.031357Z,56,132,14,p466075,0,0,None,0,,466075.jpg,4.8,23,11,57,0,106,False,0,0.0,[],Calafiori,6.7,61,19,False,None,16,1.15,i,28,1,3,2024-07-29,219.0,73,5,77,2530431,233,2279181,48321,0.2,13.8,Calafiori,5
4,2001-06-17,7,374,True,True,100,100,9,0.49,58,445122,None,,0,0,8,-8,277.2,66,13,104,5.71,None,,2,2,5.8,5.3,6,0.85,0.05,4.91,0.27,4.06,11.22,0.62,0.22,Jurriën,4.8,34,9,12,0.66,2,False,97.0,41,3,8,True,375.0,71,31,1639,,2025-12-27T22:00:11.070756Z,63,69,2,p445122,0,0,None,0,,445122.jpg,5.2,12,4,66,0,152,False,0,0.0,[],Timber,27.5,11,4,False,None,18,0.99,a,46,1,3,2023-07-14,315.0,42,1,104,5463409,91404,2737346,56245,0.8,16.5,J.Timber,2
0,2000-02-15,0,0,False,True,0,0,0,0,0,440854,None,,0,0,-1,1,0.0,775,261,0,0,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Jakub,0.0,762,259,0,0,0,False,0.0,776,261,9,False,0.0,776,261,0,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,54,170,21,p440854,0,0,None,0,,440854.jpg,0.0,776,261,0,0,172,False,0,0,[],Kiwior,0.0,576,209,False,None,0,0,u,0,1,3,2023-01-23,0.0,771,260,0,1119,0,10814,17,0.0,0.0,Kiwior,0
0,2006-09-26,0,36,True,True,None,None,0,0.0,10,499169,None,,0,0,-4,4,45.5,312,104,14,4.05,None,,0,2,1.6,1.1,1,0.06,0.02,0.11,0.03,0.05,5.26,1.52,0.01,Myles,0.6,324,119,5,1.45,0,False,9.4,390,140,10,False,31.2,404,153,311,,None,51,238,37,p499169,0,0,None,0,,499169.jpg,0.9,481,166,14,0,241,False,0,0.0,[],Lewis-Skelly,1.5,154,60,False,None,1,0.29,a,4,1,3,2022-12-04,18.0,359,126,12,127056,1114,444446,2659,0.1,2.4,Lewis-Skelly,3
1,1997-10-08,3,89,True,True,100,100,2,0.63,16,198869,None,,0,0,-4,4,77.1,244,67,27,8.47,None,,1,2,1.2,0.7,0,0.43,0.13,0.80,0.25,0.37,5.52,1.73,0.12,Benjamin,0.2,394,142,3,0.94,0,False,20.3,327,108,11,False,92.2,318,120,287,,2025-12-13T23:30:11.163639Z,51,228,33,p198869,0,0,None,0,,198869.jpg,4.6,33,15,16,0,241,False,0,0.0,[],White,0.5,239,90,False,None,4,1.25,a,11,1,3,2021-07-30,34.0,314,98,23,326014,599,374983,2255,0.0,4.5,White,0
0,None,0,0,True,True,None,None,0,0,0,563324,None,,0,0,-2,2,0.0,485,188,0,0,None,,0,2,1.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Brayden,0.0,420,161,0,0,0,False,0.0,496,187,13,False,0.0,493,187,0,,None,38,790,257,p563324,0,0,None,0,,563324.jpg,0.0,503,187,0,0,None,False,0,0,[],Clarke,0.5,256,98,False,None,0,0,a,0,1,3,None,0.0,445,178,0,49087,363,70430,1158,0.0,0.0,Clarke,0
0,None,0,0,False,True,0,0,0,0,0,588793,None,,0,0,-1,1,0.0,526,200,0,0,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Maldini,0.0,463,175,0,0,0,False,0.0,536,199,14,False,0.0,533,199,0,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,39,759,226,p588793,0,0,None,0,,588793.jpg,0.0,543,199,0,0,None,False,0,0,[],Kacurri,0.1,466,171,False,None,0,0,u,0,1,3,None,0.0,487,191,0,10218,0,22159,71,0.0,0.0,Kacurri,0
0,2006-07-26,0,0,True,True,None,None,0,0,0,499167,None,,0,0,-2,2,0.0,478,181,0,0,None,,0,2,1.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Josh,0.0,413,154,0,0,0,False,0.0,490,181,15,False,0.0,487,181,0,,None,38,780,247,p499167,0,0,None,0,,499167.jpg,0.0,497,181,0,0,241,False,0,0,[],Nichols,0.2,384,140,False,None,0,0,a,0,1,3,2024-07-24,0.0,437,170,0,16740,77,24001,308,0.0,0.0,Nichols,0
7,2001-09-05,10,363,True,True,100,100,8,0.51,8,223340,2,,0,0,2,-2,533.8,8,8,107,6.78,None,,1,3,5.6,5.1,3,4.30,0.27,9.68,0.61,5.38,9.14,0.58,0.34,Bukayo,4.6,42,20,9,0.57,4,False,142.8,7,5,16,False,383.8,61,19,1420,,2025-08-23T22:30:05.759392Z,102,5,3,p223340,0,0,1,0,,223340.jpg,5.2,13,7,74,0,241,False,0,0.0,[],Saka,20.1,18,7,False,None,16,1.01,a,25,1,3,2018-11-28,510.0,10,4,98,3853637,35310,3252054,76279,0.5,9.6,Saka,1
3,1998-12-17,5,204,True,True,100,100,4,0.41,12,184029,4,,0,0,-2,2,376.3,32,31,69,7.14,None,,1,3,6.6,6.1,3,2.13,0.22,3.00,0.31,0.87,10.67,1.1,0.09,Martin,5.6,21,11,8,0.83,1,False,72.3,87,53,17,False,216.4,190,81,870,,2025-10-04T20:00:07.945438Z,78,17,12,p184029,0,0,3,0,,184029.jpg,3.2,164,72,43,0,161,False,0,0.0,[],Ødegaard,2.5,117,39,False,None,11,1.14,a,14,1,3,2021-08-20,130.0,149,88,48,340955,13131,487040,9341,0.7,6.2,Ødegaard,0
0,2002-03-10,0,76,True,True,100,100,3,0.53,7,248857,3,,0,0,-2,2,159.3,144,99,27,4.81,None,,0,3,1.8,1.3,1,1.39,0.25,1.93,0.35,0.54,6.87,1.22,0.1,Noni,0.8,304,138,5,0.89,0,False,39.3,225,113,18,False,58.8,364,161,505,,2025-09-21T22:30:05.839272Z,68,45,28,p248857,0,0,None,0,,248857.jpg,1.7,362,160,14,0,241,False,0,0.0,[],Madueke,0.7,222,77,False,None,6,1.07,a,6,1,3,2025-07-18,175.0,106,63,20,210688,836,278664,1823,0.1,2.9,Madueke,0
1,2001-06-18,1,86,True,True,100,100,2,0.36,4,444145,None,,0,0,-2,2,66.0,267,159,27,4.86,None,,0,3,2.2,1.7,0,0.18,0.03,2.17,0.39,1.99,5.36,0.96,0.36,Gabriel,1.2,276,125,3,0.54,1,False,30.3,282,138,19,False,70.2,348,154,500,,2025-12-24T02:30:10.584394Z,68,46,29,p444145,0,0,None,0,,444145.jpg,1.8,350,154,18,0,30,False,0,0.0,[],Martinelli Silva,0.8,195,66,False,None,6,1.08,a,5,1,3,2019-07-15,172.0,112,65,28,135316,2117,217987,1757,0.2,4.1,Martinelli,2
4,1994-12-04,9,274,True,True,100,100,6,0.48,12,116216,None,,-1,1,-1,1,322.8,45,39,71,5.66,None,,2,3,5.2,4.7,2,2.04,0.16,6.21,0.49,4.17,8.24,0.66,0.33,Leandro,4.2,62,32,9,0.72,5,False,101.0,37,28,20,False,334.8,97,31,1128,,2025-11-27T10:00:06.582480Z,69,41,25,p116216,0,0,4,0,,116216.jpg,4.7,30,13,45,0,21,False,0,0.0,[],Trossard,1.8,145,50,False,None,12,0.96,a,14,1,3,2023-01-20,351.0,35,21,80,426631,9054,263206,18356,0.6,11.6,Trossard,1
7,1999-01-14,18,490,True,True,100,100,9,0.48,71,204480,1,,1,-1,8,-8,580.7,5,5,205,10.88,1,,4,3,8.2,7.7,3,3.78,0.2,6.44,0.34,2.66,11.96,0.64,0.14,Declan,7.2,2,1,13,0.69,4,False,132.8,10,8,21,True,536.4,14,4,1695,,2025-12-30T16:00:11.463587Z,73,23,16,p204480,0,0,None,0,,204480.jpg,6.1,4,1,100,0,241,False,0,0.0,[],Rice,26.9,12,4,False,None,19,1.01,a,34,1,3,2023-07-15,210.0,83,51,122,4992603,285187,2734071,18035,1.0,16.7,Rice,1
3,1996-06-22,4,209,True,True,None,None,4,0.39,27,195384,None,,-1,1,-4,4,174.1,130,94,100,9.67,None,,1,3,2.2,1.7,0,0.93,0.09,3.22,0.31,2.29,6.22,0.6,0.22,Mikel,1.2,267,119,8,0.77,3,False,61.9,126,68,22,False,262.2,163,61,931,,None,56,129,80,p195384,0,0,None,0,,195384.jpg,3.1,178,75,50,0,200,False,0,0.0,[],Merino Zazón,1.8,144,49,False,None,10,0.97,a,23,1,3,2024-08-27,185.0,100,60,58,821626,1428,702962,25834,0.2,10.4,Merino,1
0,2000-05-30,0,0,False,True,0,0,0,0,0,438098,None,,0,0,-1,1,0.0,774,341,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,761,334,0,0,0,False,0.0,775,341,23,False,0.0,775,341,0,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,169,105,p438098,0,0,None,0,,438098.jpg,0.0,775,341,0,0,173,False,0,0,[],Ferreira Vieira,0.0,664,274,False,None,0,0,u,0,1,3,2022-06-21,0.0,770,340,0,933,0,4382,9,0.0,0.0,Fábio Vieira,0
0,1994-03-10,0,11,True,True,100,100,0,0.0,5,128295,None,,0,0,-4,4,0.4,451,219,8,23.23,None,,0,3,1.2,0.7,0,0.00,0.0,0.05,0.15,0.05,2.16,6.27,0.15,Christian,0.2,393,181,1,2.9,0,False,2.3,441,200,24,False,14.6,430,193,31,,2025-08-18T08:00:05.297235Z,51,225,138,p128295,0,0,None,0,,128295.jpg,1.0,467,218,3,0,58,False,0,0.0,[],Nørgaard,0.1,425,142,False,None,0,0.0,a,0,1,3,2025-07-10,7.0,390,193,3,6258,114,59556,203,0.0,0.6,Nørgaard,0
0,2007-03-21,0,20,True,True,None,None,1,0.55,1,499175,None,,0,0,-5,5,22.5,356,185,13,7.09,None,,0,3,1.0,0.5,0,0.08,0.04,0.31,0.17,0.23,0.73,0.4,0.13,Ethan,0.0,734,316,0,0.0,0,False,5.4,414,186,25,False,8.6,436,197,165,,None,50,268,163,p499175,0,0,None,0,,499175.jpg,1.3,408,182,10,0,241,False,0,0.0,[],Nwaneri,0.1,428,143,False,None,0,0.0,a,2,1,3,2022-09-17,24.0,338,178,8,12890,149,34929,231,0.0,1.6,Nwaneri,0
1,1999-02-02,5,360,True,True,100,100,10,0.51,71,481655,None,,0,0,-3,3,291.2,62,50,181,9.2,None,,1,3,5.2,4.7,5,1.45,0.07,3.32,0.17,1.87,14.59,0.74,0.1,Martín,4.2,59,29,13,0.66,3,False,81.2,72,46,26,False,374.8,72,22,1770,,2025-11-01T18:30:07.784912Z,52,216,133,p481655,0,0,None,0,,481655.jpg,3.7,104,44,72,0,200,False,0,0.0,[],Zubimendi Ibáñez,2.2,126,42,False,None,20,1.02,a,38,1,3,2025-07-06,144.0,132,78,77,721854,4040,759952,6993,0.8,14.8,Zubimendi,4
0,2005-12-10,0,0,False,True,0,0,0,0,0,588796,None,,0,0,0,0,0.0,701,290,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ismeal,0.0,658,260,0,0,0,False,0.0,706,290,28,False,0.0,706,290,0,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,45,475,290,p588796,0,0,None,0,,588796.jpg,0.0,707,291,0,0,152,False,0,0,[],Kabia,0.1,465,156,False,None,0,0,u,0,1,3,2024-09-14,0.0,685,285,0,6731,0,29894,69,0.0,0.0,Kabia,0
